"CAS Number"|"Chemical Analysis"|"Species ECOTOX Number"|"Publication Year"|
54648|Unmeasured|89|1975|
54648|Not reported|1196|1994|
54648|Unmeasured|2|1966|
54648|Unmeasured|82|1966|
54648|Unmeasured|2|1966|
54648|Unmeasured|82|1966|
54648|Unmeasured|20|1966|
54648|Unmeasured|20|1966|
54648|Unmeasured|3|1966|
54648|Unmeasured|28|1991|
54648|Unmeasured|3|1966|
54648|Unmeasured|49|1966|
54648|Unmeasured|49|1966|
54648|Unmeasured|4|1966|
54648|Unmeasured|4|1966|
55685|Unmeasured|123|1969|
55685|Unmeasured|123|1969|
55685|Unmeasured|123|1969|
55685|Unmeasured|123|1969|
55685|Unmeasured|123|1969|
55685|Unmeasured|123|1969|
55685|Unmeasured|123|1969|
55685|Unmeasured|123|1969|
55685|Unmeasured|123|1969|
55685|Unmeasured|123|1969|
55685|Unmeasured|123|1969|
55685|Unmeasured|22|1969|
55685|Unmeasured|23|1969|
55685|Unmeasured|23|1969|
55685|Unmeasured|23|1969|
55685|Unmeasured|23|1969|
55685|Unmeasured|23|1969|
55685|Unmeasured|22|1969|
55685|Unmeasured|23|1969|
55685|Unmeasured|23|1969|
55685|Unmeasured|4|1969|
55685|Unmeasured|4|1969|
55685|Unmeasured|4|1969|
55685|Unmeasured|4|1969|
59858|Unmeasured|123|1969|
59858|Unmeasured|123|1969|
59858|Unmeasured|123|1969|
59858|Unmeasured|123|1969|
59858|Unmeasured|23|1969|
59858|Unmeasured|23|1969|
59858|Unmeasured|4|1969|
62384|Measured|59|1978|
62384|Unmeasured|16|1986|
62384|Unmeasured|16|1986|
62384|Unmeasured|2495|1987|
62384|Measured|16|1980|
62384|Measured|16|1980|
62384|Unmeasured|16|1987|
62384|Unmeasured|16|1987|
62384|Measured|16|1980|
62384|Unmeasured|16|1987|
62384|Unmeasured|2495|1986|
62384|Unmeasured|16|1986|
62384|Unmeasured|997|1981|
62384|Measured|16|1980|
62384|Unmeasured|16|1987|
62384|Unmeasured|16|1986|
62384|Unmeasured|2820|1982|
62384|Unmeasured|2820|1982|
62384|Unmeasured|2820|1982|
62384|Unmeasured|2820|1982|
62384|Unmeasured|2820|1982|
62384|Unmeasured|2820|1982|
62384|Unmeasured|2820|1982|
62384|Unmeasured|2820|1982|
62384|Unmeasured|123|1969|
62384|Unmeasured|123|1969|
62384|Unmeasured|5156|1971|
62384|Unmeasured|109|1970|
62384|Unmeasured|109|1970|
62384|Unmeasured|20|1959|
62384|Unmeasured|20|1959|
62384|Unmeasured|20|1959|
62384|Unmeasured|109|1970|
62384|Unmeasured|20|1958|
62384|Unmeasured|109|1986|
62384|Unmeasured|20|1958|
62384|Unmeasured|109|1969|
62384|Unmeasured|109|1970|
62384|Unmeasured|20|1959|
62384|Unmeasured|109|1970|
62384|Unmeasured|20|1958|
62384|Unmeasured|109|1970|
62384|Unmeasured|109|1970|
62384|Unmeasured|20|1958|
62384|Unmeasured|20|1959|
62384|Unmeasured|20|1959|
62384|Unmeasured|109|1981|
62384|Unmeasured|20|1958|
62384|Unmeasured|109|1986|
62384|Unmeasured|109|1970|
62384|Unmeasured|109|1970|
62384|Unmeasured|20|1958|
62384|Unmeasured|20|1959|
62384|Unmeasured|109|1986|
62384|Unmeasured|109|1986|
62384|Unmeasured|20|1959|
62384|Unmeasured|20|1959|
62384|Unmeasured|109|1970|
62384|Unmeasured|109|1970|
62384|Unmeasured|20|1959|
62384|Unmeasured|20|1959|
62384|Unmeasured|109|1970|
62384|Unmeasured|20|1958|
62384|Unmeasured|109|1970|
62384|Unmeasured|20|1959|
62384|Unmeasured|109|1970|
62384|Unmeasured|20|1959|
62384|Unmeasured|109|1986|
62384|Unmeasured|109|1970|
62384|Unmeasured|109|1986|
62384|Unmeasured|20|1959|
62384|Unmeasured|20|1959|
62384|Unmeasured|20|1958|
62384|Unmeasured|109|1970|
62384|Unmeasured|109|1967|
62384|Unmeasured|109|1970|
62384|Unmeasured|20|1959|
62384|Unmeasured|97|1960|
62384|Unmeasured|28|1960|
62384|Unmeasured|2|1957|
62384|Unmeasured|2|1957|
62384|Measured|28|1973|
62384|Unmeasured|97|1960|
62384|Unmeasured|28|1960|
62384|Unmeasured|25|1967|
62384|Unmeasured|21|1969|
62384|Unmeasured|21|1967|
62384|Unmeasured|21|1981|
62384|Unmeasured|25|1981|
62384|Unmeasured|25|1969|
62384|Unmeasured|23|1969|
62384|Unmeasured|23|1969|
62384|Unmeasured|23|1969|
62384|Unmeasured|22|1969|
62384|Unmeasured|22|1969|
62384|Unmeasured|4|1973|
62384|Unmeasured|4|1973|
62384|Unmeasured|4|1973|
62384|Unmeasured|4|1969|
62384|Unmeasured|4|1973|
62384|Unmeasured|4|1971|
62384|Unmeasured|4|1971|
62384|Unmeasured|4|1971|
62384|Unmeasured|4|1971|
62384|Unmeasured|4|1969|
62384|Unmeasured|4|1971|
62384|Unmeasured|4|1971|
62384|Unmeasured|4|1957|
62384|Unmeasured|4|1957|
62384|Unmeasured|4|1971|
62384|Unmeasured|4|1971|
62384|Unmeasured|4|1971|
62384|Unmeasured|4|1971|
62384|Unmeasured|4|1960|
62384|Unmeasured|4|1971|
62384|Unmeasured|4|1971|
62384|Unmeasured|84|1957|
62384|Unmeasured|84|1957|
90039|Unmeasured|123|1969|
90039|Unmeasured|109|1970|
90039|Unmeasured|109|1970|
90039|Unmeasured|109|1970|
90039|Unmeasured|109|1970|
90039|Unmeasured|109|1970|
90039|Unmeasured|109|1970|
90039|Unmeasured|109|1970|
90039|Unmeasured|2|1957|
90039|Unmeasured|22|1969|
90039|Unmeasured|23|1969|
90039|Unmeasured|4|1957|
90039|Unmeasured|84|1957|
100561|Unmeasured|2|1990|
100561|Unmeasured|109|1967|
100561|Unmeasured|2|1990|
100561|Unmeasured|25|1967|
100561|Unmeasured|21|1967|
100572|Unmeasured|123|1969|
100572|Unmeasured|123|1969|
100572|Unmeasured|123|1969|
100572|Unmeasured|123|1969|
100572|Unmeasured|42|1970|
100572|Unmeasured|123|1969|
100572|Unmeasured|123|1969|
100572|Unmeasured|123|1969|
100572|Unmeasured|123|1969|
100572|Unmeasured|123|1969|
100572|Unmeasured|23|1969|
100572|Unmeasured|22|1969|
100572|Unmeasured|22|1969|
100572|Unmeasured|23|1969|
100572|Unmeasured|23|1969|
100572|Unmeasured|23|1969|
100572|Unmeasured|22|1969|
100572|Unmeasured|23|1969|
100572|Unmeasured|4|1969|
100572|Unmeasured|4|1969|
102987|Unmeasured|123|1969|
102987|Unmeasured|123|1969|
102987|Unmeasured|123|1969|
102987|Unmeasured|123|1969|
102987|Unmeasured|22|1969|
102987|Unmeasured|23|1969|
102987|Unmeasured|23|1969|
102987|Unmeasured|4|1969|
107277|Measured|16|1980|
107277|Measured|16|1980|
107277|Measured|16|1980|
107277|Measured|16|1980|
107277|Unmeasured|2|1990|
107277|Unmeasured|20|1959|
107277|Unmeasured|20|1959|
107277|Unmeasured|20|1959|
107277|Unmeasured|20|1959|
107277|Unmeasured|20|1959|
107277|Unmeasured|20|1959|
107277|Unmeasured|20|1959|
107277|Unmeasured|2|1990|
107277|Unmeasured|21|1984|
107277|Unmeasured|21|1984|
107277|Unmeasured|4|1978|
107277|Unmeasured|4|1978|
107277|Unmeasured|4|1978|
107277|Unmeasured|4|1978|
107277|Unmeasured|4|1978|
107277|Unmeasured|4|1978|
115093|Unmeasured|1651|1973|
115093|Unmeasured|466|1973|
115093|Unmeasured|1651|1973|
115093|Unmeasured|1651|1973|
115093|Unmeasured|1651|1973|
115093|Unmeasured|1651|1973|
115093|Unmeasured|134|1980|
115093|Unmeasured|466|1973|
115093|Unmeasured|466|1973|
115093|Unmeasured|1651|1973|
115093|Unmeasured|466|1973|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|16|1987|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|16|1987|
115093|Unmeasured|466|1973|
115093|Unmeasured|16|1987|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|16|1987|
115093|Unmeasured|466|1973|
115093|Unmeasured|16|1987|
115093|Measured|59|1978|
115093|Unmeasured|16|1987|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|16|1987|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|16|1987|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Unmeasured|134|1980|
115093|Measured|59|1978|
115093|Unmeasured|308|1989|
115093|Unmeasured|811|1974|
115093|Unmeasured|113|1988|
115093|Unmeasured|202|1988|
115093|Unmeasured|811|1973|
115093|Unmeasured|202|1988|
115093|Unmeasured|308|1989|
115093|Unmeasured|308|1989|
115093|Unmeasured|113|1988|
115093|Unmeasured|811|1974|
115093|Unmeasured|308|1989|
115093|Unmeasured|113|1988|
115093|Unmeasured|16|1988|
115093|Unmeasured|16|1988|
115093|Unmeasured|202|1988|
115093|Unmeasured|811|1974|
115093|Unmeasured|113|1988|
115093|Unmeasured|16|1988|
115093|Measured|17262|2006|
115093|Measured|17262|2006|
115093|Measured|17262|2006|
115093|Measured|17262|2006|
115093|Unmeasured|38496|2012|
115093|Unmeasured|38496|2012|
115093|Unmeasured|38496|2012|
115093|Unmeasured|38496|2012|
115093|Unmeasured|38496|2012|
115093|Unmeasured|38496|2012|
115093|Unmeasured|38496|2012|
115093|Unmeasured|38496|2012|
115093|Measured|17262|2006|
115093|Unmeasured|38496|2012|
115093|Unmeasured|38496|2012|
115093|Unmeasured|38496|2012|
115093|Unmeasured|38496|2012|
115093|Measured|17262|2006|
115093|Measured|17262|2006|
115093|Unmeasured|38496|2012|
115093|Measured|17262|2006|
115093|Measured|16740|2008|
115093|Measured|16740|2008|
115093|Measured|16740|2008|
115093|Measured|17262|2006|
115093|Measured|17262|2006|
115093|Unmeasured|38496|2012|
115093|Unmeasured|38496|2012|
115093|Unmeasured|38496|2012|
115093|Unmeasured|38496|2012|
115093|Unmeasured|38496|2012|
